B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,class
0.1042,0.0639,0.1168,0.1658,0.2101,0.2609,0.2705,0.2734,0.2763,0.2754,0.3066,0.2874,building
0.1042,0.0678,0.0876,0.1516,0.1979,0.2525,0.2713,0.2442,0.2646,0.2754,0.2908,0.2567,building
0.1042,0.0981,0.1344,0.175,0.1979,0.2525,0.2713,0.2872,0.2646,0.2754,0.2908,0.2567,building
0.1026,0.1302,0.1396,0.186,0.2226,0.2557,0.2747,0.2568,0.2693,0.2866,0.3325,0.3198,building
0.1026,0.0834,0.1288,0.1926,0.2226,0.2557,0.2747,0.2354,0.2693,0.2866,0.3325,0.3198,building
0.1026,0.1242,0.1486,0.2216,0.2508,0.2768,0.2978,0.2924,0.296,0.2866,0.3661,0.3572,building
0.1042,0.0974,0.1362,0.1994,0.2394,0.2673,0.2784,0.2776,0.2737,0.2754,0.3029,0.2942,building
0.1042,0.1324,0.1604,0.2036,0.2394,0.2673,0.2784,0.2584,0.2737,0.2754,0.3029,0.2942,building
0.1042,0.1318,0.167,0.2124,0.2101,0.2609,0.2705,0.2502,0.2763,0.2754,0.3066,0.2874,building
0.1042,0.0808,0.1116,0.1574,0.2101,0.2609,0.2705,0.2558,0.2763,0.2754,0.3066,0.2874,building
0.1042,0.0995,0.1312,0.1682,0.1979,0.2525,0.2713,0.244,0.2646,0.2754,0.2908,0.2567,building
0.1042,0.1252,0.165,0.1906,0.1979,0.2525,0.2713,0.2602,0.2646,0.2754,0.2908,0.2567,building
0.1026,0.1238,0.1454,0.1918,0.2226,0.2557,0.2747,0.2446,0.2693,0.2866,0.3325,0.3198,building
0.1026,0.091,0.138,0.2006,0.2226,0.2557,0.2747,0.2634,0.2693,0.2866,0.3325,0.3198,building
0.1026,0.1242,0.147,0.2032,0.2508,0.2768,0.2978,0.2754,0.296,0.2866,0.3661,0.3572,building
0.1026,0.0703,0.122,0.1848,0.2508,0.2768,0.2978,0.294,0.296,0.2866,0.3661,0.3572,building
0.107,0.149,0.1526,0.2274,0.2393,0.2521,0.2616,0.2442,0.2689,0.2566,0.2917,0.2629,building
0.1042,0.1506,0.1904,0.2268,0.2225,0.2446,0.2471,0.2666,0.2427,0.2754,0.2799,0.2659,building
0.1042,0.1554,0.1686,0.2018,0.2225,0.2446,0.2471,0.2204,0.2427,0.2754,0.2799,0.2659,building
0.1042,0.1148,0.1418,0.161,0.2143,0.2464,0.2726,0.2276,0.2846,0.2754,0.3084,0.2876,building
0.1042,0.0536,0.0969,0.1122,0.2143,0.2464,0.2726,0.267,0.2846,0.2754,0.3084,0.2876,building
0.1042,0.0796,0.1268,0.1474,0.2037,0.2593,0.2629,0.2686,0.2771,0.2754,0.3082,0.2847,building
0.1042,0.1226,0.1476,0.1742,0.2037,0.2593,0.2629,0.2422,0.2771,0.2754,0.3082,0.2847,building
0.1026,0.111,0.1296,0.1986,0.2232,0.2474,0.2806,0.2406,0.2598,0.2866,0.3224,0.3105,building
0.1026,0.0739,0.1334,0.2332,0.2232,0.2474,0.2806,0.3134,0.2598,0.2866,0.3224,0.3105,building
0.1026,0.0902,0.1088,0.1736,0.2422,0.263,0.2787,0.2306,0.2802,0.2866,0.3159,0.2709,building
0.1026,0.1078,0.1194,0.1898,0.2422,0.263,0.2787,0.241,0.2802,0.2866,0.3159,0.2709,building
0.1026,0.146,0.187,0.2398,0.2387,0.2694,0.2769,0.2988,0.2888,0.2866,0.2937,0.2578,building
0.107,0.1362,0.198,0.2134,0.2393,0.2521,0.2616,0.2754,0.2689,0.2566,0.2917,0.2629,building
0.107,0.1538,0.199,0.227,0.2393,0.2521,0.2616,0.2778,0.2689,0.2566,0.2917,0.2629,building
0.1042,0.14,0.1934,0.2054,0.2225,0.2446,0.2471,0.2366,0.2427,0.2754,0.2799,0.2659,building
0.1042,0.1554,0.176,0.1954,0.2225,0.2446,0.2471,0.2348,0.2427,0.2754,0.2799,0.2659,building
0.1042,0.1408,0.1506,0.186,0.2143,0.2464,0.2726,0.2662,0.2846,0.2754,0.3084,0.2876,building
0.034,0.0366,0.0863,0.0484,0.1277,0.3539,0.4157,0.4196,0.4432,0.4402,0.2357,0.1083,agri1
0.0366,0.0383,0.0771,0.046,0.116,0.3205,0.3732,0.3776,0.4004,0.4046,0.228,0.1059,agri1
0.0366,0.0348,0.0764,0.0429,0.1151,0.3231,0.3864,0.3858,0.4135,0.4046,0.2272,0.1062,agri1
0.0366,0.0389,0.0792,0.0465,0.1151,0.3231,0.3864,0.3982,0.4135,0.4046,0.2272,0.1062,agri1
0.034,0.0397,0.0775,0.0469,0.12,0.3374,0.3999,0.4014,0.4283,0.4402,0.232,0.1055,agri1
0.034,0.0389,0.0831,0.0508,0.12,0.3374,0.3999,0.4008,0.4283,0.4402,0.232,0.1055,agri1
0.034,0.0422,0.0862,0.0487,0.1277,0.3539,0.4157,0.4188,0.4432,0.4402,0.2357,0.1083,agri1
0.034,0.0408,0.0863,0.0445,0.1277,0.3539,0.4157,0.4308,0.4432,0.4402,0.2357,0.1083,agri1
0.034,0.04,0.0855,0.0479,0.131,0.3677,0.4365,0.4288,0.4598,0.4402,0.2372,0.1099,agri1
0.0366,0.0397,0.0863,0.0504,0.1323,0.334,0.3879,0.3918,0.4151,0.4046,0.2299,0.1074,agri1
